Designator,Footprint,Quantity,Value,LCSC Part #
C1,C_1206_3216Metric,1,10uF,C89632
"C10, C3, C4, C5, C6, C9",C_0603_1608Metric,6,100nF,C14663
C11,C_0603_1608Metric,1,10nF,C519406
C12,C_0603_1608Metric,1,10uF,C92487
C2,C_1210_3225Metric,1,22uF,C55530
"C7, C8",C_0603_1608Metric,2,22pF,C105620
Crystal1,Crystal_SMD_HC49 1502,1,16mhz,C111377
D1,D_SOD-123,1,1N4148,C81598
"F1, F2, F3",Fuse_1812_4532Metric,3,0.1A,C883137
"J1, J2",TE_84953-6_1x06-1MP_P1.0mm_Horizontal,2,Conn_01x06,C408826
"R1, R2, R3",R_0805_2012Metric,3,10k,C17414
SW1,Rotary Switch MSMR-10S,1,SW_Coded_SH-7010,C514571
U1,TQFP-32_7x7mm_P0.8mm,1,ATmega328P-AU,C14877
U2,VSSOP-10_3x3mm_P0.5mm,1,INA226AIDGSR,C49851
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TMP75D,C30389
U4,Mornsun K7805MT-500R4 DC-DC,1,Morsun_K7805MT-500R4,C2684892
